Date,Time,Strategy,LegID,Strike,Type,Issue
2023-10-05,14:49,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:49
2023-10-05,14:50,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:50
2023-10-05,14:51,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:51
2023-10-05,14:52,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:52
2023-10-05,14:53,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:53
2023-10-05,14:54,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:54
2023-10-05,14:55,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:55
2023-10-05,14:56,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:56
2023-10-05,14:57,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:57
2023-10-05,14:58,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:58
2023-10-05,14:59,VolatilityStraddles,L1,19550,CE,Close candle missing at 14:59
2023-10-05,15:00,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:00
2023-10-05,15:01,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:01
2023-10-05,15:02,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:02
2023-10-05,15:03,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:03
2023-10-05,15:04,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:04
2023-10-05,15:05,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:05
2023-10-05,15:06,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:06
2023-10-05,15:07,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:07
2023-10-05,15:08,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:08
2023-10-05,15:09,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:09
2023-10-05,15:09,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:09
2023-10-05,15:10,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:10
2023-10-05,15:10,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:10
2023-10-05,15:11,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:11
2023-10-05,15:11,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:11
2023-10-05,15:12,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:12
2023-10-05,15:12,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:12
2023-10-05,15:13,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:13
2023-10-05,15:13,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:13
2023-10-05,15:14,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:14
2023-10-05,15:14,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:14
2023-10-05,15:15,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:15
2023-10-05,15:15,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:15
2023-10-05,15:16,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:16
2023-10-05,15:16,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:16
2023-10-05,15:17,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:17
2023-10-05,15:17,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:17
2023-10-05,15:18,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:18
2023-10-05,15:18,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:18
2023-10-05,15:19,VolatilityStraddles,L1,19550,CE,Close candle missing at 15:19
2023-10-05,15:19,VolatilityStraddles,L2,19550,PE,Close candle missing at 15:19
