DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,119.3,12:31,17555.4,159.15,UPPER_BREACH,17450,CE,,,,17550,17350,100,-1,-39.84999
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,100.95,15:19,17628.3,41.55,EOD,17450,PE,,,,17550,17350,100,-1,59.399998
2022-01-03,NIFTY,2022-01-06,Monday,12:32,17555.4,95.65,15:19,17628.3,159.25,EOD,17550,CE,,,,17650,17450,100,-1,-63.6
2022-01-03,NIFTY,2022-01-06,Monday,12:32,17555.4,98.2,15:19,17628.3,69.4,EOD,17550,PE,,,,17650,17450,100,-1,28.799995
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,90.9,15:16,17805.65,142.25,UPPER_BREACH,17700,CE,,,,17800,17600,100,-1,-51.35
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,102.75,09:41,17596.6,159.6,LOWER_BREACH,17700,PE,,,,17800,17600,100,-1,-56.850006
2022-01-04,NIFTY,2022-01-06,Tuesday,09:42,17596.6,97.65,10:01,17701.6,154.0,UPPER_BREACH,17600,CE,,,,17700,17500,100,-1,-56.35
2022-01-04,NIFTY,2022-01-06,Tuesday,09:42,17596.6,104.85,15:19,17816.65,20.4,EOD,17600,PE,,,,17700,17500,100,-1,84.45
2022-01-04,NIFTY,2022-01-06,Tuesday,15:17,17805.65,77.95,15:19,17816.65,86.8,EOD,17800,CE,,,,17900,17700,100,-1,-8.850006
2022-01-04,NIFTY,2022-01-06,Tuesday,15:17,17805.65,72.2,15:19,17816.65,67.0,EOD,17800,PE,,,,17900,17700,100,-1,5.199997
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,82.0,12:51,17902.1,127.45,UPPER_BREACH,17800,CE,,,,17900,17700,100,-1,-45.449997
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,69.05,15:19,17925.3,14.95,EOD,17800,PE,,,,17900,17700,100,-1,54.100002
2022-01-05,NIFTY,2022-01-06,Wednesday,12:52,17902.1,61.4,15:19,17925.3,65.7,EOD,17900,CE,,,,18000,17800,100,-1,-4.2999954
2022-01-05,NIFTY,2022-01-06,Wednesday,12:52,17902.1,63.4,15:19,17925.3,43.05,EOD,17900,PE,,,,18000,17800,100,-1,20.350002
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,52.2,15:19,17751.6,0.8,EOD,17750,CE,,,,17850,17650,100,-1,51.4
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,45.1,15:19,17751.6,4.45,EOD,17750,PE,,,,17850,17650,100,-1,40.649998
