DATE,INDEX,EXPIRYDATE,DAY,RANGE_USED,REF_PRICE,UPPER_RANGE,LOWER_RANGE,ENTRY_TIME,EXIT_TIME,INDEX_ENTRY,INDEX_EXIT,STRIKE,TYPE,ENTRY_PRICE,EXIT_PRICE,QTY,PNL,EXIT_REASON,INDEX_PRICE
2021-06-01,NIFTY,2021-06-03,Tuesday,100,15601.55,15701.55,,09:20,15:20,15601.55,,15600,CE,73.15,65.65,-1,7.5,EOD,
2021-06-01,NIFTY,2021-06-03,Tuesday,100,15601.55,,15501.55,09:20,15:20,15601.55,,15600,PE,91.35,76.2,-1,15.150002,EOD,
2021-06-02,NIFTY,2021-06-03,Wednesday,100,15552.5,15652.5,,09:20,15:20,15552.5,,15550,CE,64.3,72.65,-1,-8.349998,EOD,
2021-06-02,NIFTY,2021-06-03,Wednesday,100,15552.5,,15452.5,09:20,15:20,15552.5,,15550,PE,66.4,31.3,-1,35.100002,EOD,
2021-06-03,NIFTY,2021-06-03,Thursday,100,15658.9,15758.9,,09:20,15:20,15658.9,,15650,CE,33.25,38.8,-1,-5.549999,EOD,
2021-06-03,NIFTY,2021-06-03,Thursday,100,15658.9,,15558.9,09:20,15:20,15658.9,,15650,PE,37.4,0.1,-1,37.300003,EOD,
2021-06-04,NIFTY,2021-06-10,Friday,100,15692.6,15792.6,,09:20,15:20,15692.6,,15700,CE,106.6,88.75,-1,17.849998,EOD,
2021-06-04,NIFTY,2021-06-10,Friday,100,15692.6,,15592.6,09:20,15:20,15692.6,,15700,PE,120.65,109.55,-1,11.099998,EOD,
2021-06-07,NIFTY,2021-06-10,Monday,100,15708.4,15808.4,,09:20,15:20,15708.4,,15700,CE,96.85,117.65,-1,-20.800003,EOD,
2021-06-07,NIFTY,2021-06-10,Monday,100,15708.4,,15608.4,09:20,15:20,15708.4,,15700,PE,83.45,59.1,-1,24.349998,EOD,
2021-06-08,NIFTY,2021-06-10,Tuesday,100,15759.25,15859.25,,09:20,15:20,15759.25,,15750,CE,74.85,61.5,-1,13.349998,EOD,
2021-06-08,NIFTY,2021-06-10,Tuesday,100,15759.25,,15659.25,09:20,15:20,15759.25,,15750,PE,76.15,68.1,-1,8.050003,EOD,
2021-06-09,NIFTY,2021-06-10,Wednesday,100,15748.25,15848.25,,09:20,15:20,15748.25,,15750,CE,52.7,13.8,-1,38.9,EOD,
