DATE,INDEX,EXPIRYDATE,DAY,RANGE_USED,INDEX_PRICE,UPPER_RANGE,LOWER_RANGE,ENTRY_TIME,EXIT_TIME,INDEX_ENTRY,INDEX_EXIT,STRIKE,TYPE,ENTRY_PRICE,EXIT_PRICE,QTY,PNL,EXIT_REASON,REF_PRICE
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,23675.65,23759.45,,09:20,11:18,23675.65,23778.4,23700,CE,104.25,194.6,-1,-90.350006,UPPER_BREACH,
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,23675.65,,23591.850000000002,09:20,09:47,23675.65,23579.7,23700,PE,132.75,177.7,-1,-44.949997,LOWER_BREACH,
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,23579.7,23663.5,,09:47,10:48,23579.7,23673.7,23600,CE,128.0,196.65,-1,-68.649994,UPPER_BREACH,
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,,,23495.9,09:47,15:20,23579.7,,23600,PE,124.1,55.65,-1,68.45,EOD,23579.7
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,23673.7,23757.5,,10:48,11:09,23673.7,23759.45,23650,CE,166.8,213.95,-1,-47.149994,UPPER_BREACH,
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,,,23589.9,10:48,15:20,23673.7,,23650,PE,99.95,68.75,-1,31.199997,EOD,23673.7
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,,23843.25,,11:09,15:20,23759.45,,23750,CE,151.2,141.3,-1,9.899994,EOD,23759.45
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,,,23675.65,11:09,15:20,23759.45,,23750,PE,122.6,101.75,-1,20.849998,EOD,23759.45
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,,23862.2,,11:18,15:20,23778.4,,23800,CE,135.35,113.0,-1,22.350006,EOD,23778.4
2025-01-01,NIFTY,2025-01-02,Wednesday,83.8,23778.4,,23694.600000000002,11:18,11:55,23778.4,23688.25,23800,PE,138.0,179.6,-1,-41.600006,LOWER_BREACH,
