DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,119.3,12:31,17555.4,159.15,UPPER_BREACH,17450,CE,,,,17549.600000000002,17394.8,77.4,-1,-39.84999
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,100.95,15:19,17628.3,41.55,EOD,17450,PE,,,,17549.600000000002,17394.8,77.4,-1,59.399998
2022-01-03,NIFTY,2022-01-06,Monday,12:32,17555.4,95.65,14:33,17639.55,159.75,UPPER_BREACH,17550,CE,,,,17632.800000000003,17478.0,77.4,-1,-64.1
2022-01-03,NIFTY,2022-01-06,Monday,12:32,17555.4,98.2,15:19,17628.3,69.4,EOD,17550,PE,,,,17632.800000000003,17478.0,77.4,-1,28.799995
2022-01-03,NIFTY,2022-01-06,Monday,14:34,17639.55,99.7,15:19,17628.3,100.9,EOD,17650,CE,,,,17716.95,17562.149999999998,77.4,-1,-1.2000046
2022-01-03,NIFTY,2022-01-06,Monday,14:34,17639.55,107.75,15:19,17628.3,110.1,EOD,17650,PE,,,,17716.95,17562.149999999998,77.4,-1,-2.3499985
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,90.9,15:17,17814.1,154.0,UPPER_BREACH,17700,CE,,,,17809.7,17553.7,128.0,-1,-63.1
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,102.75,15:19,17816.65,36.05,EOD,17700,PE,,,,17809.7,17553.7,128.0,-1,66.7
2022-01-04,NIFTY,2022-01-06,Tuesday,15:18,17814.1,85.0,15:19,17816.65,86.8,EOD,17800,CE,,,,17942.1,17686.1,128.0,-1,-1.800003
2022-01-04,NIFTY,2022-01-06,Tuesday,15:18,17814.1,69.15,15:19,17816.65,67.0,EOD,17800,PE,,,,17942.1,17686.1,128.0,-1,2.1500015
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,82.0,12:53,17907.05,136.25,UPPER_BREACH,17800,CE,,,,17904.8,17737.2,83.8,-1,-54.25
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,69.05,15:19,17925.3,14.95,EOD,17800,PE,,,,17904.8,17737.2,83.8,-1,54.100002
2022-01-05,NIFTY,2022-01-06,Wednesday,12:54,17907.05,67.8,15:19,17925.3,65.7,EOD,17900,CE,,,,17990.85,17823.25,83.8,-1,2.100006
2022-01-05,NIFTY,2022-01-06,Wednesday,12:54,17907.05,59.3,15:19,17925.3,43.05,EOD,17900,PE,,,,17990.85,17823.25,83.8,-1,16.25
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,52.2,15:19,17751.6,0.8,EOD,17750,CE,,,,17825.350000000002,17665.55,79.9,-1,51.4
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,45.1,12:16,17662.75,89.1,LOWER_BREACH,17750,PE,,,,17825.350000000002,17665.55,79.9,-1,-44.0
2022-01-06,NIFTY,2022-01-06,Thursday,12:17,17662.75,40.6,13:39,17745.1,97.6,UPPER_BREACH,17650,CE,,,,17742.65,17582.85,79.9,-1,-57.0
2022-01-06,NIFTY,2022-01-06,Thursday,12:17,17662.75,24.95,15:19,17751.6,0.05,EOD,17650,PE,,,,17742.65,17582.85,79.9,-1,24.900002
2022-01-06,NIFTY,2022-01-06,Thursday,13:40,17745.1,20.5,15:19,17751.6,0.8,EOD,17750,CE,,,,17825.0,17665.199999999997,79.9,-1,19.7
2022-01-06,NIFTY,2022-01-06,Thursday,13:40,17745.1,25.3,15:19,17751.6,4.45,EOD,17750,PE,,,,17825.0,17665.199999999997,79.9,-1,20.849998
2022-01-07,NIFTY,2022-01-13,Friday,09:20,17830.5,145.2,15:19,17808.1,124.0,EOD,17850,CE,,,,17915.8,17745.2,85.3,-1,21.199997
2022-01-07,NIFTY,2022-01-13,Friday,09:20,17830.5,156.5,12:43,17744.35,197.5,LOWER_BREACH,17850,PE,,,,17915.8,17745.2,85.3,-1,-41.0
2022-01-07,NIFTY,2022-01-13,Friday,12:44,17744.35,141.15,15:19,17808.1,178.05,EOD,17750,CE,,,,17829.649999999998,17659.05,85.3,-1,-36.90001
2022-01-07,NIFTY,2022-01-13,Friday,12:44,17744.35,143.25,15:19,17808.1,108.5,EOD,17750,PE,,,,17829.649999999998,17659.05,85.3,-1,34.75
2022-01-10,NIFTY,2022-01-13,Monday,09:20,17932.75,112.95,15:19,18005.65,150.55,EOD,17950,CE,,,,18010.15,17855.35,77.4,-1,-37.600006
2022-01-10,NIFTY,2022-01-13,Monday,09:20,17932.75,125.25,15:19,18005.65,80.5,EOD,17950,PE,,,,18010.15,17855.35,77.4,-1,44.75
2022-01-11,NIFTY,2022-01-13,Tuesday,09:20,18021.5,120.6,15:19,18047.0,122.0,EOD,18000,CE,,,,18149.5,17893.5,128.0,-1,-1.4000015
2022-01-11,NIFTY,2022-01-13,Tuesday,09:20,18021.5,97.35,15:19,18047.0,71.65,EOD,18000,PE,,,,18149.5,17893.5,128.0,-1,25.699997
2022-01-12,NIFTY,2022-01-13,Wednesday,09:20,18162.2,81.35,15:19,18209.0,96.55,EOD,18150,CE,,,,18246.0,18078.4,83.8,-1,-15.200005
