Date,Strategy,LegID,OptionType,Strike,Expiry,DTE,SpotPrice,IntendedEntryTime,EntryTime,EntryPrice,EntryDelayed,EntryDelayMinutes,ExitTime,ExitPrice,ExitReason,SLPrice,Qty,PnL
2021-06-01,ITMStraddle,CE,CE,15500,2021-06-03,2,15609.95,09:20,2021-06-01 09:20:00+05:30,133.1999969482422,False,0,2021-06-01 15:15:00+05:30,126.25,TIME_EXIT,186.47999572753906,-1,6.9499969482421875
2021-06-01,ITMStraddle,PE,PE,15700,2021-06-03,2,15609.95,09:20,2021-06-01 09:20:00+05:30,152.25,False,0,2021-06-01 15:15:00+05:30,140.39999389648438,TIME_EXIT,213.14999389648438,-1,11.850006103515625
2021-06-02,ITMStraddle,CE,CE,15400,2021-06-03,1,15540.85,09:20,2021-06-02 09:20:00+05:30,169.75,False,0,2021-06-02 15:15:00+05:30,191.39999389648438,TIME_EXIT,237.64999389648438,-1,-21.649993896484375
2021-06-02,ITMStraddle,PE,PE,15600,2021-06-03,1,15540.85,09:20,2021-06-02 09:20:00+05:30,93.1500015258789,False,0,2021-06-02 10:03:00+05:30,132.5,SL_HIT,130.41000366210938,-1,-39.349998474121094
2021-06-03,ITMStraddle,CE,CE,15600,2021-06-03,0,15656.15,09:20,2021-06-03 09:20:00+05:30,63.75,False,0,2021-06-03 15:10:00+05:30,90.0,SL_HIT,89.25,-1,-26.25
2021-06-03,ITMStraddle,PE,PE,15800,2021-06-03,0,15656.15,09:20,2021-06-03 09:20:00+05:30,157.0,False,0,2021-06-03 15:15:00+05:30,113.0,TIME_EXIT,219.8000030517578,-1,44.0
2021-06-04,ITMStraddle,CE,CE,15600,2021-06-10,6,15685.55,09:20,2021-06-04 09:20:00+05:30,165.35000610351562,False,0,2021-06-04 15:15:00+05:30,147.4499969482422,TIME_EXIT,231.49000549316406,-1,17.900009155273438
2021-06-04,ITMStraddle,PE,PE,15800,2021-06-10,6,15685.55,09:20,2021-06-04 09:20:00+05:30,177.0,False,0,2021-06-04 15:15:00+05:30,167.14999389648438,TIME_EXIT,247.8000030517578,-1,9.850006103515625
2021-06-07,ITMStraddle,CE,CE,15600,2021-06-10,3,15704.8,09:20,2021-06-07 09:20:00+05:30,159.3000030517578,False,0,2021-06-07 15:15:00+05:30,190.14999389648438,TIME_EXIT,223.02000427246094,-1,-30.849990844726562
2021-06-07,ITMStraddle,PE,PE,15800,2021-06-10,3,15704.8,09:20,2021-06-07 09:20:00+05:30,139.0500030517578,False,0,2021-06-07 15:15:00+05:30,104.94999694824219,TIME_EXIT,194.6699981689453,-1,34.100006103515625
2021-06-08,ITMStraddle,CE,CE,15700,2021-06-10,2,15768.05,09:20,2021-06-08 09:20:00+05:30,104.80000305175781,False,0,2021-06-08 15:15:00+05:30,94.0999984741211,TIME_EXIT,146.72000122070312,-1,10.700004577636719
2021-06-08,ITMStraddle,PE,PE,15900,2021-06-10,2,15768.05,09:20,2021-06-08 09:20:00+05:30,171.6999969482422,False,0,2021-06-08 15:15:00+05:30,166.4499969482422,TIME_EXIT,240.37998962402344,-1,5.25
2021-06-09,ITMStraddle,CE,CE,15600,2021-06-10,1,15737.3,09:20,2021-06-09 09:20:00+05:30,157.14999389648438,False,0,2021-06-09 15:15:00+05:30,80.25,TIME_EXIT,220.00999450683594,-1,76.89999389648438
2021-06-09,ITMStraddle,PE,PE,15800,2021-06-10,1,15737.3,09:20,2021-06-09 09:20:00+05:30,91.75,False,0,2021-06-09 13:14:00+05:30,147.35000610351562,SL_HIT,128.4499969482422,-1,-55.600006103515625
2021-06-10,ITMStraddle,CE,CE,15600,2021-06-10,0,15677.6,09:20,2021-06-10 09:20:00+05:30,91.9000015258789,False,0,2021-06-10 12:00:00+05:30,144.3000030517578,SL_HIT,128.66000366210938,-1,-52.400001525878906
2021-06-10,ITMStraddle,PE,PE,15800,2021-06-10,0,15677.6,09:20,2021-06-10 09:20:00+05:30,128.6999969482422,False,0,2021-06-10 15:15:00+05:30,62.25,TIME_EXIT,180.17999267578125,-1,66.44999694824219
2021-06-11,ITMStraddle,CE,CE,15700,2021-06-17,6,15814.05,09:20,2021-06-11 09:20:00+05:30,167.1999969482422,False,0,2021-06-11 15:15:00+05:30,155.0,TIME_EXIT,234.07998657226562,-1,12.199996948242188
2021-06-11,ITMStraddle,PE,PE,15900,2021-06-17,6,15814.05,09:20,2021-06-11 09:20:00+05:30,152.85000610351562,False,0,2021-06-11 15:15:00+05:30,143.14999389648438,TIME_EXIT,213.99000549316406,-1,9.70001220703125
2021-06-14,ITMStraddle,CE,CE,15700,2021-06-17,3,15750.0,09:20,2021-06-14 09:20:00+05:30,114.8499984741211,False,0,2021-06-14 15:15:00+05:30,151.0,TIME_EXIT,160.7899932861328,-1,-36.150001525878906
2021-06-14,ITMStraddle,PE,PE,15900,2021-06-17,3,15750.0,09:20,2021-06-14 09:20:00+05:30,175.5500030517578,False,0,2021-06-14 09:25:00+05:30,249.5,SL_HIT,245.77000427246094,-1,-73.94999694824219
2021-06-15,ITMStraddle,CE,CE,15800,2021-06-17,2,15874.8,09:20,2021-06-15 09:20:00+05:30,104.5999984741211,False,0,2021-06-15 15:15:00+05:30,106.8499984741211,TIME_EXIT,146.44000244140625,-1,-2.25
2021-06-15,ITMStraddle,PE,PE,16000,2021-06-17,2,15874.8,09:20,2021-06-15 09:20:00+05:30,163.89999389648438,False,0,2021-06-15 15:15:00+05:30,147.60000610351562,TIME_EXIT,229.45999145507812,-1,16.29998779296875
2021-06-16,ITMStraddle,CE,CE,15700,2021-06-17,1,15841.9,09:20,2021-06-16 09:20:00+05:30,155.5500030517578,False,0,2021-06-16 15:15:00+05:30,107.4000015258789,TIME_EXIT,217.77000427246094,-1,48.150001525878906
2021-06-16,ITMStraddle,PE,PE,15900,2021-06-17,1,15841.9,09:20,2021-06-16 09:20:00+05:30,98.8499984741211,False,0,2021-06-16 10:56:00+05:30,141.25,SL_HIT,138.38999938964844,-1,-42.400001525878906
