DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,119.3,14:13,17612.7,210.0,CE_SL_HIT,17450,CE,17611.999716253053,17611.999716253053,139.79971625305112,17611.999716253053,,139.79971625305112,-1,-90.7
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,100.95,15:20,17635.9,41.15,EOD,17450,PE,17332.40028374695,17332.40028374695,139.79971625305112,,17332.40028374695,139.79971625305112,-1,59.799995
2022-01-03,NIFTY,2022-01-06,Monday,14:14,17612.7,107.4,15:20,17635.9,128.0,EOD,17600,CE,17752.499716253053,17752.499716253053,139.79971625305112,17752.499716253053,,139.79971625305112,-1,-20.599998
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,90.9,15:20,17822.5,160.5,EOD,17700,CE,17822.943723942928,17822.943723942928,141.24372394292902,17822.943723942928,,141.24372394292902,-1,-69.6
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,102.75,15:20,17822.5,35.1,EOD,17700,PE,17540.456276057073,17540.456276057073,141.24372394292902,,17540.456276057073,141.24372394292902,-1,67.65
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,82.0,15:20,17927.8,135.3,EOD,17800,CE,17962.75532808348,17962.75532808348,141.75532808347864,17962.75532808348,,141.75532808347864,-1,-53.300003
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,69.05,15:20,17927.8,15.2,EOD,17800,PE,17679.24467191652,17679.24467191652,141.75532808347864,,17679.24467191652,141.75532808347864,-1,53.850002
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,52.2,15:20,17755.3,0.95,EOD,17750,CE,17886.20220848569,17886.20220848569,140.75220848569046,17886.20220848569,,140.75220848569046,-1,51.25
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,45.1,15:20,17755.3,3.55,EOD,17750,PE,17604.69779151431,17604.69779151431,140.75220848569046,,17604.69779151431,140.75220848569046,-1,41.55
2022-01-07,NIFTY,2022-01-13,Friday,09:20,17830.5,145.2,15:20,17822.6,128.9,EOD,17850,CE,17971.40402585027,17971.40402585027,140.9040258502671,17971.40402585027,,140.9040258502671,-1,16.300003
2022-01-07,NIFTY,2022-01-13,Friday,09:20,17830.5,156.5,15:20,17822.6,147.85,EOD,17850,PE,17689.59597414973,17689.59597414973,140.9040258502671,,17689.59597414973,140.9040258502671,-1,8.649994
2022-01-10,NIFTY,2022-01-13,Monday,09:20,17932.75,112.95,15:20,18005.15,150.1,EOD,17950,CE,18075.347910261917,18075.347910261917,142.5979102619184,18075.347910261917,,142.5979102619184,-1,-37.15001
2022-01-10,NIFTY,2022-01-13,Monday,09:20,17932.75,125.25,15:20,18005.15,81.95,EOD,17950,PE,17790.152089738083,17790.152089738083,142.5979102619184,,17790.152089738083,142.5979102619184,-1,43.300003
2022-01-11,NIFTY,2022-01-13,Tuesday,09:20,18021.5,120.6,15:20,18058.0,124.75,EOD,18000,CE,18164.082537595026,18164.082537595026,142.58253759502762,18164.082537595026,,142.58253759502762,-1,-4.1500015
2022-01-11,NIFTY,2022-01-13,Tuesday,09:20,18021.5,97.35,15:20,18058.0,69.4,EOD,18000,PE,17878.917462404974,17878.917462404974,142.58253759502762,,17878.917462404974,142.58253759502762,-1,27.949997
2022-01-12,NIFTY,2022-01-13,Wednesday,09:20,18162.2,81.35,15:20,18215.4,97.75,EOD,18150,CE,18305.696934662777,18305.696934662777,143.49693466277498,18305.696934662777,,143.49693466277498,-1,-16.400002
2022-01-12,NIFTY,2022-01-13,Wednesday,09:20,18162.2,64.55,15:20,18215.4,34.55,EOD,18150,PE,18018.703065337224,18018.703065337224,143.49693466277498,,18018.703065337224,143.49693466277498,-1,30.000004
2022-01-13,NIFTY,2022-01-13,Thursday,09:20,18237.5,37.5,15:20,18264.45,8.35,EOD,18250,CE,18381.061973292155,18381.061973292155,143.56197329215573,18381.061973292155,,143.56197329215573,-1,29.15
