DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,49.65,14:13,17612.7,107.8,CE_SL_HIT,17600,CE,17611.999716253053,17611.999716253053,139.79971625305112,17611.999716253053,,139.79971625305112,-1,-58.15
2022-01-03,NIFTY,2022-01-06,Monday,09:20,17472.2,64.25,15:20,17635.9,23.75,EOD,17350,PE,17332.40028374695,17332.40028374695,139.79971625305112,,17332.40028374695,139.79971625305112,-1,40.5
2022-01-03,NIFTY,2022-01-06,Monday,14:14,17612.7,42.4,15:20,17635.9,58.55,EOD,17750,CE,17751.799432506104,17751.799432506104,139.79971625305112,17751.799432506104,,139.79971625305112,-1,-16.149998
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,49.3,15:20,17822.5,90.0,EOD,17800,CE,17822.943723942928,17822.943723942928,141.24372394292902,17822.943723942928,,141.24372394292902,-1,-40.7
2022-01-04,NIFTY,2022-01-06,Tuesday,09:20,17681.7,46.4,15:20,17822.5,15.85,EOD,17550,PE,17540.456276057073,17540.456276057073,141.24372394292902,,17540.456276057073,141.24372394292902,-1,30.550001
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,22.5,15:20,17927.8,39.4,EOD,17950,CE,17962.75532808348,17962.75532808348,141.75532808347864,17962.75532808348,,141.75532808347864,-1,-16.900002
2022-01-05,NIFTY,2022-01-06,Wednesday,09:20,17821.0,36.9,15:20,17927.8,6.8,EOD,17700,PE,17679.24467191652,17679.24467191652,141.75532808347864,,17679.24467191652,141.75532808347864,-1,30.100002
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,5.4,15:20,17755.3,0.05,EOD,17900,CE,17886.20220848569,17886.20220848569,140.75220848569046,17886.20220848569,,140.75220848569046,-1,5.35
2022-01-06,NIFTY,2022-01-06,Thursday,09:20,17745.45,11.8,15:20,17755.3,0.1,EOD,17600,PE,17604.69779151431,17604.69779151431,140.75220848569046,,17604.69779151431,140.75220848569046,-1,11.7
2022-01-07,NIFTY,2022-01-13,Friday,09:20,17830.5,99.9,15:20,17822.6,85.05,EOD,17950,CE,17971.40402585027,17971.40402585027,140.9040258502671,17971.40402585027,,140.9040258502671,-1,14.849998
2022-01-07,NIFTY,2022-01-13,Friday,09:20,17830.5,95.4,15:20,17822.6,86.05,EOD,17700,PE,17689.59597414973,17689.59597414973,140.9040258502671,,17689.59597414973,140.9040258502671,-1,9.349998
2022-01-10,NIFTY,2022-01-13,Monday,09:20,17932.75,53.55,15:20,18005.15,72.65,EOD,18100,CE,18075.347910261917,18075.347910261917,142.5979102619184,18075.347910261917,,142.5979102619184,-1,-19.100002
